"","Code","Feature","Loading","SHORT_TITLE"
"1","41071","Cluster 1","0.00680830690878754","Subendo infarct, initial"
"2","4275",,"0.000310339108122584","Cardiac arrest"
"3","5849",,"0.604373195861715","Acute kidney failure NOS"
"4","2639",,"0.0364616838303862","Protein-cal malnutr NOS"
"5","4280",,"0.0158596413100789","CHF NOS"
"6","78559",,"0.013361513701507","Shock w/o trauma NEC"
"7","0389",,"0.170122080135555","Septicemia NOS"
"8","6826",,"6.3961049362596e-05","Cellulitis of leg"
"9","4254",,"0.00109241039231519","Prim cardiomyopathy NEC"
"10","7907",,"0.034815767532377","Bacteremia"
"11","2763",,"0.0315576164548055","Alkalosis"
"12","5715",,"0.012009975698039","Cirrhosis of liver NOS"
"13","04111",,"0.00959090182068074","Mth sus Stph aur els/NOS"
"14","2766",,"0.0123056051434814",
"15","40391",,"0.0288728142420437","Hyp kid NOS w cr kid V"
"16","2859",,"0.204453559827239","Anemia NOS"
"17","2767",,"0.0814150026608484","Hyperpotassemia"
"18","5070",,"0.137083499155199","Food/vomit pneumonitis"
"19","431",,"-0.000165989719217633","Intracerebral hemorrhage"
"20","2765",,"0.0228590514708735",
"21","4019",,"0.0521408964120456","Hypertension NOS"
"22","9971",,"0.00472335335157768","Surg compl-heart"
"23","99811",,"0.00519419033212366","Hemorrhage complic proc"
"24","4111",,"0.00858176253410369","Intermed coronary synd"
"25","41401",,"0.0414946875216339","Crnry athrscl natve vssl"
"26","25000",,"0.018494317990704","DMII wo cmp nt st uncntr"
"27","2720",,"0.0137765857716469","Pure hypercholesterolem"
"28","2724",,"0.0205500670744084","Hyperlipidemia NEC/NOS"
"29","45829",,"0.00296737838078946","Iatrogenc hypotnsion NEC"
"30","78057",,"0.000529947930475129","Sleep apnea NOS"
"31","78039",,"-0.000678008660422275","Convulsions NEC"
"32","2948",,"0.0272504668793755","Mental disor NEC oth dis"
"33","73300",,"0.0074968257410595","Osteoporosis NOS"
"34","5990",,"0.252210986446681","Urin tract infection NOS"
"35","28521",,"0.0117009306523374","Anemia in chr kidney dis"
"36","2749",,"0.0023060860768436","Gout NOS"
"37","5781",,"0.00154968017521114","Blood in stool"
"38","4271",,"0.00239589647810284","Parox ventric tachycard"
"39","42731",,"0.020276604484417","Atrial fibrillation"
"40","78551",,"0.000260629767125537","Cardiogenic shock"
"41","60000",,"0.00214438296224979","BPH w/o urinary obs/LUTS"
"42","4241",,"0.00551602067339303","Aortic valve disorder"
"43","41041",,"0.00162416382826624","AMI inferior wall, init"
"44","53081",,"0.00725638396113748","Esophageal reflux"
"45","5939",,"0.000926949265546479","Renal & ureteral dis NOS"
"46","412",,"0.00680441566181745","Old myocardial infarct"
"47","496",,"0.00351434408585905","Chr airway obstruct NEC"
"48","486",,"0.152954538631549","Pneumonia, organism NOS"
"49","27801",,"0.000735186776905513","Morbid obesity"
"50","4538",,"0.00317122824120666",
"51","4928",,"4.37263660374327e-05","Emphysema NEC"
"52","49390",,"-0.000301753918464989","Asthma NOS"
"53","4260",,"0.00053880491606294","Atriovent block complete"
"54","2875",,"0.102425201796263","Thrombocytopenia NOS"
"55","42732",,"0.00126749911890597","Atrial flutter"
"56","71590",,"0.00129073326655936","Osteoarthros NOS-unspec"
"57","2449",,"0.0786606631346024","Hypothyroidism NOS"
"58","3051",,"-0.0194971586972128","Tobacco use disorder"
"59","42789",,"0.035144129312537","Cardiac dysrhythmias NEC"
"60","2851",,"0.0338722054699924","Ac posthemorrhag anemia"
"61","99592",,"0.196669140141696","Severe sepsis"
"62","9974",,"0.000397421416892569",
"63","5601",,"0.000507619650717204","Paralytic ileus"
"64","41400",,"0.0166440297666368","Cor ath unsp vsl ntv/gft"
"65","9982",,"0.00111298977091808","Accidental op laceration"
"66","70703",,"0.0288361683246716","Pressure ulcer, low back"
"67","5185",,"0.00263653335801566",
"68","5121",,"0.000420467516912842","Iatrogenic pneumothorax"
"69","48241",,"0.00392050951530504","Meth sus pneum d/t Staph"
"70","78820",,"0.0199368247214982","Retention urine NOS"
"71","3485",,"-9.63369933198575e-05","Cerebral edema"
"72","42741",,"0.00022996151058245","Ventricular fibrillation"
"73","5180",,"0.0453546090292314","Pulmonary collapse"
"74","4139",,"0.00468384828106046","Angina pectoris NEC/NOS"
"75","4439",,"0.0025433917674404","Periph vascular dis NOS"
"76","2809",,"0.0209512306433407","Iron defic anemia NOS"
"77","311",,"0.0580372860562998","Depressive disorder NEC"
"78","40390",,"0.216179525202372","Hy kid NOS w cr kid I-IV"
"79","07054",,"0.0145741373741143","Chrnc hpt C wo hpat coma"
"80","5712",,"0.0143500090976164","Alcohol cirrhosis liver"
"81","43310",,"0.00141378865310919","Ocl crtd art wo infrct"
"82","2761",,"0.0901373471504393","Hyposmolality"
"83","1983",,"-9.49021046153385e-06","Sec mal neo brain/spine"
"84","4589",,"0.0338393495810535","Hypotension NOS"
"85","0414",,"0.0386341490622129",
"86","28529",,"0.0365689392960876","Anemia-other chronic dis"
"87","5856",,"0.0183849144588822","End stage renal disease"
"88","6930",,"0.0214561989520163","Drug dermatitis NOS"
"89","99591",,"0.0352842161782331","Sepsis"
"90","7140",,"0.000277478043725864","Rheumatoid arthritis"
"91","4148",,"0.00111703360429774","Chr ischemic hrt dis NEC"
"92","7895",,"0.00387977662186161",
"93","1120",,"0.0143983760152373","Thrush"
"94","30500",,"-0.00110775846976296","Alcohol abuse-unspec"
"95","2768",,"0.038832302280676","Hypopotassemia"
"96","5859",,"0.215136820079366","Chronic kidney dis NOS"
"97","2762",,"0.16662196838763","Acidosis"
"98","5533",,"0.000862309397094437","Diaphragmatic hernia"
"99","41011",,"0.000311129509281779","AMI anterior wall, init"
"100","4412",,"0.000630148177449038","Thoracic aortic aneurysm"
"101","30000",,"0.00780577952402041","Anxiety state NOS"
"102","4240",,"0.00385044037549558","Mitral valve disorder"
"103","5119",,"0.049617140748028","Pleural effusion NOS"
"104","51881",,"0.417802964326904","Acute respiratry failure"
"105","99812",,"0.00226783074986594","Hematoma complic proc"
"106","27651",,"0.0437904612232111","Dehydration"
"107","2760",,"0.0997476031289532","Hyperosmolality"
"108","49121",,"0.0276780598264071","Obs chr bronc w(ac) exac"
"109","3314",,"-2.318808762705e-05","Obstructiv hydrocephalus"
